no_hholds,decile,median_daily_dhw_vol,min_daily_dhw_vol,max_daily_dhw_vol,calibration_daily_dhw_vol,calibration_DHW_variance
505,1,37.941166882,19.711499949,47.913082931,51.0731262767962,4.173336940101286
360,2,55.9838329395,47.913082931,63.208124405,71.2740799873522,5.287496838906702
330,3,69.7566667375,63.208124405,76.8258333305,86.22397129144393,7.113286248447778
304,4,82.8473749915,76.8258333305,90.034126615,99.2033566756629,9.085767293378492
260,5,96.06133288,90.034126615,101.77758424,111.06913202580817,9.01284145596494
253,6,109.763334665,101.77758424,116.04483203,120.74948127466088,10.628470866052284
242,7,123.31374915,116.04483203,131.40858373,135.04543821264065,13.297778569853367
221,8,141.053249235,131.40858373,152.314333305,148.44876505408877,15.096612196049723
207,9,162.905335005,152.314333305,179.57241746,170.20430105216073,19.278240547065373
185,10,197.763832795,179.57241746,220.65716763,196.92405166533842,22.888336799975477
